Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition,Day Differences,Amount Differences
2005102195041,2005-10-17 00:00:00,2005-08-06 00:00:00,SAT,San Antonio International,Northwest Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),227.98,Settled,140.11,Settle,72.0,87.86999999999998
2005061086225,2005-06-01 00:00:00,2005-05-15 00:00:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,29.96,Denied,0.0,Deny,17.0,29.96
2008052344772,2008-05-21 00:00:00,2008-04-06 00:00:00,PHX,Phoenix Sky Harbor International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies (footballs; parachutes; etc.),131.95,Denied,0.0,Deny,45.0,131.95
2005012774581,2005-01-10 00:00:00,2004-10-29 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),90.09,Denied,0.0,Deny,73.0,90.09
2004111266839,2004-10-05 00:00:00,2004-08-14 00:00:00,IAD,Washington Dulles International,UAL,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),70.0,Denied,0.0,Deny,52.0,70.0
2005021075901,2005-01-19 00:00:00,2004-12-14 00:00:00,MSP,Minneapolis/ St.Paul International Airport,UAL,Passenger Property Loss,Checkpoint,Currency,100.0,Approved,100.0,Approve in Full,36.0,0.0
2008010437366,2008-01-02 00:00:00,2007-12-21 00:00:00,PHL,Philadelphia International Airport,USAir,Property Damage,Checked Baggage,Luggage (all types including footlockers),180.0,Settled,50.0,Settle,12.0,130.0
2004072059846,2004-07-07 00:00:00,2004-06-20 00:00:00,MSY,New Orleans International,Southwest Airlines,Passenger Property Loss,Checkpoint,PDA - Personal Data Assistants,99.0,Approved,99.0,Approve in Full,17.0,0.0
2005110395594,2005-10-25 00:00:00,2005-06-28 00:00:00,MSN,Dane County Regional (Madison),Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,419.74,Denied,0.0,Deny,119.0,419.74
2007062227407,2007-06-20 00:00:00,2007-06-11 00:00:00,DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Luggage (all types including footlockers),10.99,Approved,10.99,Approve in Full,9.0,0.0
2009082062792,2009-09-18 00:00:00,2009-08-01 00:00:00,GTF,Great Falls International,Delta Air Lines,Property Damage,Checked Baggage,Luggage (all types including footlockers),250.0,Denied,0.0,Deny,48.0,250.0
2004051351615,2004-03-22 00:00:00,2004-02-16 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),194.84,Denied,0.0,Deny,35.0,194.84
2007061126605,2007-06-04 00:00:00,2007-05-03 00:00:00,IND,Indianapolis International,American Airlines,Passenger Property Loss,Checkpoint,Dental Equipment and Instruments; Eyeglasses - (including contact lenses),378.0,Approved,378.0,Approve in Full,32.0,0.0
2008073047654,2008-08-18 00:00:00,2008-06-17 00:00:00,EUG,Eugene Airport/Mahlon Sweet Field,Alaska Airlines,Passenger Property Loss,Checked Baggage,Dishes; Pottery; Glassware; Plasticware,49.99,Denied,0.0,Deny,62.0,49.99
2006030602526,2006-02-27 00:00:00,2006-01-18 00:00:00,CVG,Cincinnati/Northern Kentucky International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,396.86,Settled,198.43,Settle,40.0,198.43
2006112115965,2006-11-15 00:00:00,2006-10-02 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Frontier Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),240.0,Denied,0.0,Deny,44.0,240.0
2005012874695,2005-01-10 00:00:00,2004-12-20 00:00:00,CLE,Cleveland Hopkins International,UAL,Passenger Property Loss,Checked Baggage,Other,380.0,Settled,217.91,Settle,21.0,162.09
0224065L,2003-02-24 00:00:00,2003-01-01 00:00:00,SGF,Springfield-Branson National Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),149.0,Denied,0.0,Deny,54.0,149.0
2009103064983,2009-10-22 00:00:00,2009-09-26 11:00:00,HOU,William P. Hobby,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,305.0,Denied,0.0,Deny,25.0,305.0
0219330M,2004-02-19 00:00:00,2004-02-10 00:00:00,LAX,Los Angeles International Airport,UAL,Property Damage,Checked Baggage,Cameras - Digital,100.0,Settled,50.0,Settle,9.0,50.0
2005062286920,2005-03-07 00:00:00,2005-02-18 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,249.0,Settled,126.0,Settle,17.0,123.0
1205070M,2003-12-05 00:00:00,2003-11-17 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),40.0,Approved,40.0,Approve in Full,18.0,0.0
2006101814153,2006-10-12 00:00:00,2006-08-31 00:00:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),350.0,Settled,215.44,Settle,42.0,134.56
2008011537912,2008-01-07 00:00:00,2008-01-03 00:00:00,SNA,John Wayne,American Airlines,Property Damage,Checked Baggage,Bedding - Other pillows,200.0,Denied,0.0,Deny,4.0,200.0
2009121166439,2009-12-04 00:00:00,2009-11-23 00:00:00,PHX,Phoenix Sky Harbor International,Alaska Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Denied,0.0,Deny,11.0,150.0
2006070308871,2006-06-30 00:00:00,2006-06-28 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Property Damage,Checked Baggage,Audio - Other (Phonograph; cassettes; etc),475.0,Settled,377.35,Settle,2.0,97.64999999999998
2007070627893,2007-07-02 00:00:00,2007-06-14 00:00:00,PGV,Pitt-Greenville Airport,USAir,Passenger Property Loss,Checked Baggage,Other; Umbrellas,490.0,Denied,0.0,Deny,18.0,490.0
2004062256851,2004-05-28 00:00:00,2004-04-15 00:00:00,SAV,Savannah International,Delta Air Lines,Property Damage,Checked Baggage,Other,350.0,Settled,175.0,Settle,43.0,175.0
2009061060000,2009-06-08 00:00:00,2009-04-24 00:00:00,OAK,Metropolitan Oakland International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,102.01,Denied,0.0,Deny,45.0,102.01
2006052206718,2006-05-18 00:00:00,2006-05-05 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checkpoint,Clothing - Shoes; belts; accessories; etc.,30.0,Denied,0.0,Deny,13.0,30.0
2005112996684,2005-11-16 00:00:00,2005-11-04 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Denied,0.0,Deny,12.0,150.0
2006040604137,2006-03-28 00:00:00,2006-03-12 00:00:00,SAT,San Antonio International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Locks,12.98,Approved,12.98,Approve in Full,16.0,0.0
2005082591493,2005-08-22 00:00:00,2005-06-20 00:00:00,BDL,Bradley International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Jewelry - Fine,249.75,Denied,0.0,Deny,63.0,249.75
2007072629135,2007-07-24 00:00:00,2007-06-11 00:00:00,PDX,Portland International,USAir,Passenger Property Loss,Checkpoint,MP3 Players-(iPods; etc),300.0,Denied,0.0,Deny,43.0,300.0
2009110965226,2009-10-04 00:00:00,2009-09-08 11:30:00,IAD,Washington Dulles International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),273.11,Denied,0.0,Deny,25.0,273.11
2006022802287,2006-02-24 00:00:00,2006-02-13 00:00:00,KOA,Kona International,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,380.73,Settled,190.37,Settle,11.0,190.36
2008010237116,2007-12-26 00:00:00,2007-12-16 00:00:00,PHL,Philadelphia International Airport,US Express,Passenger Property Loss,Checked Baggage,Other,262.97,Denied,0.0,Deny,10.0,262.97
2008061245605,2008-06-09 00:00:00,2008-06-05 00:00:00,MHT,Manchester Regional Airport,Northwest Airlines,Property Damage,Checked Baggage,Cameras - Digital,375.0,Denied,0.0,Deny,4.0,375.0
2008072847512,2008-07-18 00:00:00,2008-06-11 00:00:00,GJT,Walker Field,Frontier Airlines,Passenger Property Loss,Checkpoint,Other,533.49,Denied,0.0,Deny,37.0,533.49
2007111935176,2007-11-13 00:00:00,2007-10-13 00:00:00,JFK,John F. Kennedy International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,140.0,Denied,0.0,Deny,31.0,140.0
2008110351661,2008-10-24 00:00:00,2008-10-02 00:00:00,LAX,Los Angeles International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Computer - Laptop,1335.99,Settled,969.57,Settle,22.0,366.41999999999996
0211080L,2003-02-11 00:00:00,2003-01-02 00:00:00,PDX,Portland International,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),75.0,Settled,37.5,Settle,40.0,37.5
2005051985035,2005-05-17 00:00:00,2005-05-09 00:00:00,CLE,Cleveland Hopkins International,USAir,Property Damage,Checkpoint,Luggage (all types including footlockers),10.0,Approved,10.0,Approve in Full,8.0,0.0
2005060385805,2005-05-31 00:00:00,2005-05-16 00:00:00,DTW,Detroit Metropolitan Wayne County Airport,Comair Inc,Passenger Property Loss,Checked Baggage,Locks,600.0,Denied,0.0,Deny,15.0,600.0
2008092550489,2008-09-25 00:00:00,2008-09-05 00:00:00,PVD,TF Green Airport; Providence,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Toys (game systems; cartridges; radio controlled cars; etc.),167.98,Denied,0.0,Deny,20.0,167.98
2007062127281,2007-06-19 00:00:00,2007-05-23 00:00:00,MIA,Miami International Airport,Alaska Airlines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,36.0,Approved,36.0,Approve in Full,27.0,0.0
0808005M,2003-08-08 00:00:00,2003-07-27 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Cameras - Digital,500.0,Settled,250.0,Settle,12.0,250.0
2005040681786,2005-04-05 00:00:00,2005-03-10 00:00:00,CHS,Charleston International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,10.6,Denied,0.0,Deny,26.0,10.6
2006022101820,2006-02-14 00:00:00,2006-02-04 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Property Damage,Checked Baggage,Other,500.0,Denied,0.0,Deny,10.0,500.0
2006011099272,2006-01-05 00:00:00,2005-12-14 00:00:00,BDL,Bradley International Airport,Delta (Song),Passenger Property Loss,Checked Baggage,Cameras - Digital,500.13,Settled,183.7,Settle,22.0,316.43
2008022139927,2008-02-26 00:00:00,2008-02-02 00:00:00,IAD,Washington Dulles International,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),100.0,Denied,0.0,Deny,24.0,100.0
0226311M,2004-02-26 00:00:00,2003-01-12 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),108.0,Denied,0.0,Deny,410.0,108.0
2006052406929,2006-05-23 00:00:00,2006-04-19 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Boxes - Jewelry; Cigarette; Music; etc.; Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,142.62,Settled,71.31,Settle,34.0,71.31
2005062987777,2005-05-24 00:00:00,2005-05-08 00:00:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Computer - Laptop,1000.0,Settled,500.0,Settle,16.0,500.0
2007030221837,2007-02-28 00:00:00,2007-02-21 00:00:00,RDU,Raleigh-Durham International,Delta Air Lines,Property Damage,Checked Baggage,Computer - Laptop,375.0,Denied,0.0,Deny,7.0,375.0
0513061L,2003-05-13 00:00:00,2003-01-02 00:00:00,LAX,Los Angeles International Airport,USAir,Property Damage,Checked Baggage,Locks,350.0,Denied,0.0,Deny,131.0,350.0
2006012099927,2006-01-13 00:00:00,2006-12-29 00:00:00,MSP,Minneapolis/ St.Paul International Airport,Northwest Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),276.25,Denied,0.0,Deny,-350.0,276.25
2004091062565,2004-07-21 00:00:00,2004-07-16 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,87.12,Approved,87.15,Approve in Full,5.0,-0.030000000000001137
2006010398655,2005-12-22 00:00:00,2005-12-06 00:00:00,IAD,Washington Dulles International,USAir,Passenger Property Loss,Checked Baggage,Jewelry - Fine,100.0,Denied,0.0,Deny,16.0,100.0
0107041M,2004-01-07 00:00:00,2003-12-18 00:00:00,RDU,Raleigh-Durham International,Lufthansa,Property Damage,Checked Baggage,Computer - Laptop,200.0,Denied,0.0,Deny,20.0,200.0
2005040481427,2005-03-30 00:00:00,2005-03-13 00:00:00,PBI,Palm Beach International,USAir,Property Damage,Checkpoint,Luggage (all types including footlockers),79.99,Settled,50.0,Settle,17.0,29.989999999999995
2005021075836,2005-01-19 00:00:00,2004-12-19 00:00:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checkpoint,Other,57.15,Approved,57.15,Approve in Full,31.0,0.0
2008110451776,2008-10-28 00:00:00,2008-10-06 00:00:00,CMH,Port Columbus International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Other,49.95,Denied,0.0,Deny,22.0,49.95
2009042958117,2009-04-08 00:00:00,2009-03-26 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Locks,9.99,Denied,0.0,Deny,13.0,9.99
2008062346041,2008-06-19 00:00:00,2008-03-23 00:00:00,STT,Cyril E. King International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,58.0,Denied,0.0,Deny,88.0,58.0
2004051251335,2004-03-12 00:00:00,2004-01-30 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Locks,40.0,Denied,0.0,Deny,42.0,40.0
2009042758003,2009-04-02 00:00:00,2009-03-14 00:00:00,COS,Colorado Springs Municipal,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers),125.0,Denied,0.0,Deny,19.0,125.0
2007112335351,2007-11-19 00:00:00,2007-11-12 00:00:00,BOS,Boston (Logan) International Airport,American Airlines,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),284.96,Approved,284.96,Approve in Full,7.0,0.0
2009092163893,2009-09-18 00:00:00,2009-09-10 00:00:00,DCA,Ronald Reagan Washington National Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; MP3 Players-(iPods; etc),92.91,Denied,0.0,Deny,8.0,92.91
2004052453234,2004-05-03 00:00:00,2004-03-21 00:00:00,EWR,Newark International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Locks,21.7,Denied,21.7,Deny,43.0,0.0
2008050643887,2008-03-27 00:00:00,2008-03-19 00:00:00,MDW,Midway International Airport,Southwest Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),22.0,Denied,0.0,Deny,8.0,22.0
2005062887488,2005-06-13 00:00:00,2005-05-12 00:00:00,SAT,San Antonio International,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,90.87,Denied,0.0,Deny,32.0,90.87
2008061645736,2008-06-12 00:00:00,2008-05-11 00:00:00,GJT,Walker Field,American Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),150.0,Denied,0.0,Deny,32.0,150.0
2005040481363,2005-03-30 00:00:00,2005-03-04 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Luggage (all types including footlockers),320.0,Denied,0.0,Deny,26.0,320.0
2008091950119,2008-09-15 00:00:00,2008-08-18 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers),400.0,Denied,0.0,Deny,28.0,400.0
23835,2002-12-20 00:00:00,2002-09-28 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checkpoint,Other,75.0,Approved,75.0,Approve in Full,83.0,0.0
2007050124752,2007-04-27 00:00:00,2006-09-24 00:00:00,MCO,Orlando International Airport,Delta Air Lines,Personal Injury,Checkpoint,Other,342.69,Denied,0.0,Deny,215.0,342.69
0610110L,2003-06-10 00:00:00,2003-05-18 00:00:00,JFK,John F. Kennedy International,Jet Blue,Passenger Property Loss,Checked Baggage,Cameras - Digital,530.0,Denied,0.0,Deny,23.0,530.0
2004062357156,2004-06-03 00:00:00,2004-04-18 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),50.0,Approved,50.0,Approve in Full,46.0,0.0
2007082430860,2007-08-24 00:00:00,2007-08-21 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),575.0,Denied,0.0,Deny,3.0,575.0
2007031922464,2007-03-07 00:00:00,2007-03-05 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Property Damage,Checked Baggage,Clothing - Shoes; belts; accessories; etc.; Luggage (all types including footlockers),650.0,Denied,0.0,Deny,2.0,650.0
2008021239430,2008-02-05 00:00:00,2008-02-05 00:00:00,DRT,Del Rio International Airport,Continental Airlines,Property Damage,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,348.82,Denied,0.0,Deny,0.0,348.82
2006070709148,2006-07-06 00:00:00,2006-05-24 00:00:00,PHL,Philadelphia International Airport,UAL,Property Damage,Checked Baggage,Other,150.0,Denied,0.0,Deny,43.0,150.0
2006061608120,2006-06-15 00:00:00,2006-06-09 00:00:00,SHV,Shreveport Regional,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,50.8,Denied,0.0,Deny,6.0,50.8
2005081090294,2005-08-01 00:00:00,2005-04-05 00:00:00,CHS,Charleston International,USAir,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,371.13,Denied,0.0,Deny,118.0,371.13
2005112196330,2005-11-09 00:00:00,2005-11-09 00:00:00,BOS,Boston (Logan) International Airport,Jet Blue,Property Damage,Checked Baggage,Musical Instruments - Other - Over $250,899.0,Settled,630.0,Settle,0.0,269.0
2004051251462,2004-03-24 00:00:00,2004-02-28 00:00:00,PWM,Portland International Jetport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,221.96,Approved,221.96,Approve in Full,25.0,0.0
0725500M,2003-07-14 00:00:00,2003-02-03 00:00:00,HNL,Honolulu International Airport,Air Canada,Passenger Property Loss,Checked Baggage,Other,25.0,Approved,25.0,Approve in Full,161.0,0.0
2004092163314,2004-08-12 00:00:00,2004-07-25 00:00:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checkpoint,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,13.0,Approved,13.65,Approve in Full,18.0,-0.6500000000000004
2007050425001,2007-05-03 00:00:00,2006-10-04 00:00:00,SAN,San Diego International,Hawaiian Airlines,Passenger Property Loss,Checked Baggage,Other,459.8,Denied,0.0,Deny,211.0,459.8
2008032141396,2008-03-15 00:00:00,2008-02-07 00:00:00,DFW,Dallas-Fort Worth International Airport,American Airlines,Passenger Property Loss,Checkpoint,Other,357.76,Approved,357.76,Approve in Full,37.0,0.0
2005051384616,2005-05-12 00:00:00,2005-04-21 00:00:00,EWR,Newark International Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,DVD/CD Players,138.6,Approved,138.6,Approve in Full,21.0,0.0
2006112816274,2006-11-17 00:00:00,2006-09-17 00:00:00,ORD,Chicago O'Hare International Airport,American Airlines,Property Damage,Checked Baggage,Locks; Luggage (all types including footlockers),40.36,Denied,0.0,Deny,61.0,40.36
2008010237120,2007-12-26 00:00:00,2007-06-03 00:00:00,SMF,Sacramento International Airport,Southwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,293.21,Denied,0.0,Deny,206.0,293.21
2005020775725,2005-01-19 00:00:00,2004-12-22 00:00:00,DAY,James M. Cox Dayton International,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Cameras - Digital,528.14,Settled,264.07,Settle,28.0,264.07
2009062360533,2009-07-15 00:00:00,2009-05-19 00:00:00,PHX,Phoenix Sky Harbor International,Southwest Airlines,Property Damage,Checked Baggage,Other,257.38,Denied,0.0,Deny,57.0,257.38
2008112552783,2008-11-19 00:00:00,2008-10-27 00:00:00,SEA,Seattle-Tacoma International,Alaska Airlines,Passenger Property Loss,Checked Baggage,Paintings and Pictures (including frames; etchings; photos; etc),100.0,Denied,0.0,Deny,23.0,100.0
2007092032335,2007-09-19 00:00:00,2007-09-14 00:00:00,LGA,LaGuardia,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,70.97,Denied,0.0,Deny,5.0,70.97
2009041157417,2009-03-25 00:00:00,2009-02-16 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Other,70.0,Denied,0.0,Deny,37.0,70.0
2009081362593,2009-08-12 00:00:00,2009-06-28 00:00:00,LGB,Long Beach,Jet Blue,Passenger Property Loss,Checked Baggage,Locks,21.9,Approved,21.9,Approve in Full,45.0,0.0
1022345M,2003-10-22 00:00:00,2003-09-04 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checked Baggage,Other,150.0,Approved,150.0,Approve in Full,48.0,0.0
2009112465670,2009-11-12 00:00:00,2009-10-27 10:30:00,CMH,Port Columbus International,Southwest Airlines,Passenger Property Loss,Checked Baggage,Flashlights,25.0,Denied,0.0,Deny,15.0,25.0
2007100232837,2007-10-02 00:00:00,2007-08-30 00:00:00,LAX,Los Angeles International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Dental Equipment and Instruments,275.0,Approved,275.0,Approve in Full,33.0,0.0
2008082749222,2008-08-25 00:00:00,2008-08-10 00:00:00,ABQ,Albuquerque International Sunport Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,70.0,Denied,0.0,Deny,15.0,70.0
2004111667159,2004-09-29 00:00:00,2004-02-19 00:00:00,MCO,Orlando International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Jewelry - Fine,800.0,Denied,0.0,Deny,223.0,800.0
2008081148363,2008-08-06 00:00:00,2008-08-01 00:00:00,OAK,Metropolitan Oakland International,Continental Airlines,Passenger Property Loss,Checked Baggage,Eyeglasses - (including contact lenses),70.0,Settled,35.0,Settle,5.0,35.0
2006122617957,2006-12-21 00:00:00,2006-11-17 00:00:00,IAH,Houston - George Bush Intercontinental Airport,Continental Airlines,Passenger Property Loss,Checked Baggage,Other,32.51,Denied,0.0,Deny,34.0,32.51
2008042343213,2008-04-17 00:00:00,2008-04-04 00:00:00,GGG,Gregg County - Longview; TX,American Airlines,Passenger Property Loss,Checked Baggage,Alcoholic beverages,35.0,Denied,0.0,Deny,13.0,35.0
2004111667108,2004-10-05 00:00:00,2004-08-03 00:00:00,ABQ,Albuquerque International Sunport Airport,America West,Passenger Property Loss,Checked Baggage,Other,30.0,Denied,0.0,Deny,63.0,30.0
2006121517240,2006-12-07 00:00:00,2006-11-02 00:00:00,HNL,Honolulu International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,7.5,Approved,7.5,Approve in Full,35.0,0.0
2005042583194,2005-04-22 00:00:00,2005-01-03 00:00:00,PHL,Philadelphia International Airport,Northwest Airlines,Passenger Property Loss,Checked Baggage,Other,280.0,Denied,0.0,Deny,109.0,280.0
2005010572908,2004-11-04 00:00:00,2004-07-10 00:00:00,ORD,Chicago O'Hare International Airport,Air France,Passenger Property Loss,Checked Baggage,Other,63.0,Approved,63.0,Approve in Full,117.0,0.0
1119034M,2003-11-19 00:00:00,2003-11-09 00:00:00,MIA,Miami International Airport,American Airlines,Property Damage,Checked Baggage,Other,84.0,Settled,42.0,Settle,10.0,42.0
2007102533938,2007-10-24 00:00:00,2007-10-18 00:00:00,LGB,Long Beach,USAir,Property Damage,Checked Baggage,Other,176.03,Approved,176.03,Approve in Full,6.0,0.0
2008060445290,2008-05-30 00:00:00,2008-05-11 00:00:00,DEN,Denver International Airport,Frontier Airlines,Passenger Property Loss,Checked Baggage,Other,149.99,Denied,0.0,Deny,19.0,149.99
2004042950177,2004-03-15 00:00:00,2004-02-16 00:00:00,IAD,Washington Dulles International,UAL,Passenger Property Loss,Checked Baggage,Other,50.0,Approved,50.0,Approve in Full,28.0,0.0
2006110114938,2006-10-26 00:00:00,2006-10-23 00:00:00,MIA,Miami International Airport,UAL,Passenger Property Loss,Checked Baggage,Cameras - Digital,209.99,Denied,0.0,Deny,3.0,209.99
2004092363760,2004-08-03 00:00:00,2004-07-08 00:00:00,MSY,New Orleans International,AirTran Airlines,Property Damage,Checkpoint,Other,21.95,Approved,21.95,Approve in Full,26.0,0.0
0722014M,2003-07-22 00:00:00,2003-06-19 00:00:00,ANC,Ted Stevens Anchorage International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,150.0,Approved,150.0,Approve in Full,33.0,0.0
2010010567113,2009-12-30 00:00:00,2009-12-13 15:50:00,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines,Passenger Property Loss,Checked Baggage,Locks,21.18,Denied,0.0,Deny,16.0,21.18
0506118L,2003-05-06 00:00:00,2003-03-13 00:00:00,MIA,Miami International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Jewelry - Fine,728.0,Settled,114.0,Settle,54.0,614.0
2007042524475,2007-04-19 00:00:00,2007-03-08 00:00:00,RSW,Southwest Florida International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Cosmetics - Perfume; toilet articles; medicines; soaps; etc.,65.72,Denied,0.0,Deny,42.0,65.72
2005012774533,2005-01-07 00:00:00,2004-12-01 00:00:00,HOU,William P. Hobby,Delta Air Lines,Property Damage,Checked Baggage,Other,60.0,Settled,30.0,Settle,37.0,30.0
2005051884952,2005-05-17 00:00:00,2005-05-07 00:00:00,ATL,Hartsfield-Jackson Atlanta International Airport,Delta Air Lines,Passenger Property Loss,Checked Baggage,Other,39.0,Denied,0.0,Deny,10.0,39.0
2004110566443,2004-09-23 00:00:00,2004-09-22 00:00:00,TUS,Tucson International,American Airlines,Passenger Property Loss,Checked Baggage,Locks,21.3,Approved,21.3,Approve in Full,1.0,0.0
2006013000498,2006-01-27 00:00:00,2006-01-01 00:00:00,RAP,Rapid City Regional,Northwest Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,147.26,Approved,147.26,Approve in Full,26.0,0.0
2008090949660,2008-10-06 00:00:00,2008-09-01 00:00:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checkpoint,Other,500.0,Approved,500.0,Approve in Full,35.0,0.0
0522048L,2003-05-22 00:00:00,2003-01-20 00:00:00,TPA,Tampa International,American Airlines,Passenger Property Loss,Checked Baggage,Other,23.81,Approved,24.0,Approve in Full,122.0,-0.19000000000000128
2007041824197,2007-04-16 00:00:00,2007-03-30 00:00:00,ORD,Chicago O'Hare International Airport,UAL,Passenger Property Loss,Checked Baggage,Locks,9.63,Approved,9.63,Approve in Full,17.0,0.0
